group_key,word,count,total_group_count,is_main,variation_rank
shown,shown,5,5,True,1
baby,baby,5,5,True,1
noticed,noticed,2,5,True,1
noticed,notices,2,5,False,2
noticed,noticed,1,5,False,3
casual,casual,5,5,True,1
receiving,receiving,4,5,True,1
receiving,recieving,1,5,False,2
okay,okay,5,5,True,1
queue,queue,5,5,True,1
form,form,5,5,True,1
friendly,friendly,5,5,True,1
grandparent,grandparent,4,5,True,1
grandparent,grandparents,1,5,False,2
cartoons,cartoons,3,5,True,1
cartoons,cartoon,2,5,False,2
significant,significant,5,5,True,1
social,social,4,5,True,1
social,socially,1,5,False,2
picnic,picnic,5,5,True,1
lean,lean,3,5,True,1
lean,lean,2,5,False,2
night,night,5,5,True,1
testing,testing,5,5,True,1
lie,lie,5,5,True,1
simply,simply,5,5,True,1
may,may,5,5,True,1
boss,boss,5,5,True,1
engaging,engaging,5,5,True,1
que,que,5,5,True,1
woken,woken,3,5,True,1
woken,woken,2,5,False,2
socializing,socializing,3,5,True,1
socializing,socialising,1,5,False,2
socializing,socialisng,1,5,False,3
failed,failed,5,5,True,1
found,found,5,5,True,1
asked,asked,5,5,True,1
thinking,thinking,5,5,True,1
tea,tea,5,5,True,1
living,living,4,4,True,1
laptop,laptop,4,4,True,1
reassurance,reassurance,4,4,True,1
injury,injury,4,4,True,1
stop,stop,2,4,True,1
stop,stops,2,4,False,2
masseur,masseur,2,4,True,1
masseur,masseuse,2,4,False,2
cause,cause,2,4,True,1
cause,causes,2,4,False,2
small,small,4,4,True,1
irregular,irregular,3,4,True,1
irregular,irregular,1,4,False,2
depressed,depressed,3,4,True,1
depressed,deppressed,1,4,False,2
match,match,4,4,True,1
flirt,flirt,4,4,True,1
man,man,4,4,True,1
train,train,4,4,True,1
move,move,2,4,True,1
move,moving,2,4,False,2
flirting,flirting,4,4,True,1
turn,turn,4,4,True,1
dealing,dealing,4,4,True,1
saw,saw,4,4,True,1
casually,casually,4,4,True,1
bedroom,bedroom,4,4,True,1
possibly,possibly,2,4,True,1
possibly,possible,2,4,False,2
condition,condition,4,4,True,1
study,study,3,4,True,1
study,studies,1,4,False,2
boy,boy,4,4,True,1
strong,strong,2,4,True,1
strong,strongly,2,4,False,2
begin,begin,2,4,True,1
begin,begins,2,4,False,2
young,young,4,4,True,1
aunt,aunt,4,4,True,1
gives,gives,4,4,True,1
approaches,approaches,2,4,True,1
approaches,approached,1,4,False,2
approaches,aprroaches,1,4,False,3
funny,funny,4,4,True,1
nerves,nerves,3,4,True,1
nerves,nverves,1,4,False,2
wrong,wrong,4,4,True,1
buy,buy,4,4,True,1
checked,checked,4,4,True,1
soothe,soothe,3,4,True,1
soothe,soothes,1,4,False,2
keeps,keeps,4,4,True,1
seconds,seconds,4,4,True,1
get,get,2,4,True,1
get,gets,2,4,False,2
netflix,netflix,4,4,True,1
brush,brush,4,4,True,1
given,given,4,4,True,1
closeness,closeness,4,4,True,1
pick,pick,2,4,True,1
pick,picking,2,4,False,2
public,public,4,4,True,1
running,running,4,4,True,1
company,company,4,4,True,1
vein,vein,2,4,True,1
vein,veins,2,4,False,2
ok,ok,4,4,True,1
sex,sex,4,4,True,1
couple,couple,3,4,True,1
couple,couples,1,4,False,2
year,year,3,4,True,1
year,2year,1,4,False,2
ice,ice,4,4,True,1
mess,mess,4,4,True,1
forth,forth,3,4,True,1
forth,fort,1,4,False,2
lose,lose,3,4,True,1
lose,loosing,1,4,False,2
focused,focused,4,4,True,1
ease,ease,4,4,True,1
future,future,4,4,True,1
resting,resting,4,4,True,1
direction,direction,2,4,True,1
direction,directions,2,4,False,2
frustrated,frustrated,4,4,True,1
arousing,arousing,4,4,True,1
purpose,purpose,2,4,True,1
purpose,purposes,1,4,False,2
purpose,purposely,1,4,False,3
arrive,arrive,2,4,True,1
arrive,arrived,1,4,False,2
arrive,arrives,1,4,False,3
preparing,preparing,4,4,True,1
eat,eat,4,4,True,1
reaction,reaction,4,4,True,1
gathering,gathering,4,4,True,1
impatience,impatience,2,4,True,1
impatience,impatience,1,4,False,2
impatience,unpatient,1,4,False,3
una,una,4,4,True,1
continuously,continuously,4,4,True,1
remove,remove,3,4,True,1
remove,removed,1,4,False,2
similar,similar,3,4,True,1
similar,similarly,1,4,False,2
explain,explain,3,4,True,1
explain,explained,1,4,False,2
nose,nose,4,4,True,1
budzony,budzony,4,4,True,1
pocieszy,pocieszy,2,4,True,1
pocieszy,pociesza,2,4,False,2
etc,etc,3,3,True,1
sign,sign,3,3,True,1
vigorous,vigorous,2,3,True,1
vigorous,vigorous,1,3,False,2
attempting,attempting,3,3,True,1
familiar,familiar,2,3,True,1
familiar,familliar,1,3,False,2
communicate,communicate,3,3,True,1
loving,loving,2,3,True,1
loving,lovingly,1,3,False,2
sweet,sweet,3,3,True,1
knocks,knocks,2,3,True,1
knocks,knock,1,3,False,2
city,city,3,3,True,1
delicate,delicate,3,3,True,1
information,information,3,3,True,1
hurting,hurting,3,3,True,1
motivation,motivation,2,3,True,1
motivation,motivating,1,3,False,2
polite,polite,2,3,True,1
polite,politely,1,3,False,2
encounter,encounter,2,3,True,1
encounter,encounters,1,3,False,2
staying,staying,3,3,True,1
sick,sick,3,3,True,1
relieve,relieve,1,3,True,1
relieve,relieved,1,3,False,2
relieve,releave,1,3,False,3
creepy,creepy,2,3,True,1
creepy,creeps,1,3,False,2
encouragement,encouragement,3,3,True,1
open,open,2,3,True,1
open,opening,1,3,False,2
toy,toy,2,3,True,1
toy,toys,1,3,False,2
constantly,constantly,3,3,True,1
argument,argument,2,3,True,1
argument,arguments,1,3,False,2
certain,certain,3,3,True,1
amazing,amazing,3,3,True,1
talked,talked,3,3,True,1
cute,cute,3,3,True,1
nag,nag,3,3,True,1
seek,seek,3,3,True,1
starting,starting,3,3,True,1
meal,meal,2,3,True,1
meal,meals,1,3,False,2
case,case,2,3,True,1
case,case,1,3,False,2
sat,sat,3,3,True,1
team,team,3,3,True,1
each_other,each_other,2,3,True,1
each_other,eah,1,3,False,2
relief,relief,3,3,True,1
hour,hour,2,3,True,1
hour,hours,1,3,False,2
passed,passed,2,3,True,1
passed,passes,1,3,False,2
applying,applying,3,3,True,1
run,run,2,3,True,1
run,run,1,3,False,2
sing,sing,2,3,True,1
sing,sing,1,3,False,2
makes,makes,3,3,True,1
gone,gone,3,3,True,1
tested,tested,2,3,True,1
tested,teased,1,3,False,2
tickling,tickling,3,3,True,1
tingles,tingles,2,3,True,1
tingles,tingles,1,3,False,2
accompanied,accompanied,2,3,True,1
accompanied,accompanies,1,3,False,2
words,words,3,3,True,1
write,write,2,3,True,1
write,write,1,3,False,2
not_I,not_I,3,3,True,1
unfortunate,unfortunate,3,3,True,1
tired,tired,3,3,True,1
curious,curious,3,3,True,1
kiss,kiss,2,3,True,1
kiss,kiss,1,3,False,2
usually,usually,3,3,True,1
check_up,check_up,2,3,True,1
check_up,checkup,1,3,False,2
angry,angry,3,3,True,1
type,type,3,3,True,1
passenger,passenger,3,3,True,1
relationship,relationship,2,3,True,1
relationship,relationships,1,3,False,2
facing,facing,3,3,True,1
dropped,dropped,3,3,True,1
younger,younger,3,3,True,1
instructor,instructor,2,3,True,1
instructor,instruction,1,3,False,2
toddler,toddler,3,3,True,1
silence,silence,3,3,True,1
reason,reason,3,3,True,1
window,window,3,3,True,1
forehead,forehead,3,3,True,1
tease,tease,2,3,True,1
tease,teases,1,3,False,2
floor,floor,3,3,True,1
nap,nap,3,3,True,1
scary,scary,3,3,True,1
whispering,whispering,2,3,True,1
whispering,whispeing,1,3,False,2
keeping,keeping,3,3,True,1
bar,bar,3,3,True,1
asks,asks,3,3,True,1
consent,consent,3,3,True,1
heart,heart,3,3,True,1
shoot,shoot,2,3,True,1
shoot,shooting,1,3,False,2
sees,sees,3,3,True,1
tender,tender,2,3,True,1
tender,tender,1,3,False,2
relax,relax,3,3,True,1
temperature,temperature,3,3,True,1
attack,attack,3,3,True,1
girl,girl,3,3,True,1
pleasure,pleasure,3,3,True,1
il,il,3,3,True,1
beach,beach,3,3,True,1
attending,attending,3,3,True,1
pen,pen,3,3,True,1
concentrated,concentrated,3,3,True,1
professor,professor,3,3,True,1
caf,caf,3,3,True,1
afternoon,afternoon,3,3,True,1
adults,adults,2,3,True,1
adults,adult,1,3,False,2
worried,worried,3,3,True,1
itchy,itchy,3,3,True,1
mall,mall,3,3,True,1
